

Nos gerados: 91, Nos expandidos: 6, Penetrância: 1/91
Estado: (((0 0 0) (0 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 1 1) (0 1 1))), Profundidade: 2, Heuristica: 2, Custo: 4 


Nos gerados: 91, Nos expandidos: 6, Penetrância: 1/91
Estado: (((0 0 0) (0 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 0, Heuristica: 2, Custo: 2 
Estado: (((0 0 0) (0 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 1, Heuristica: 4, Custo: 5 
Estado: (((0 0 0) (0 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 1 1) (0 1 1))), Profundidade: 2, Heuristica: 3, Custo: 5 


Nos gerados: 91, Nos expandidos: 6, Penetrância: 1/91
Estado: (((0 0 0) (0 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 0, Heuristica: 2, Custo: 2 
Estado: (((0 0 0) (0 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 1, Heuristica: 2, Custo: 3 
Estado: (((0 0 0) (0 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 1 1) (0 1 1))), Profundidade: 2, Heuristica: 2, Custo: 4 


Nos gerados: 15, Nos expandidos: 1, Penetrância: 1/15
Estado: (((0 0 1 0) (1 1 1 1) (0 0 1 1) (0 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (1 1 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 0, Heuristica: 2, Custo: 2 
Estado: (((0 0 1 0) (1 1 1 1) (0 0 1 1) (0 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (1 1 1 1) (1 1 1 1) (0 1 1 1))), Profundidade: 1, Heuristica: 1, Custo: 2 


Nos gerados: 589, Nos expandidos: 44, Penetrância: 1/589
Estado: (((0 0 1 0) (1 0 1 1) (0 0 1 1) (0 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 0, Heuristica: 6, Custo: 6 
Estado: (((0 0 1 0) (1 0 1 1) (1 0 1 1) (0 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 1, Heuristica: 19, Custo: 20 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (0 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 2, Heuristica: 17, Custo: 19 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 3, Heuristica: 15, Custo: 18 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 4, Heuristica: 11, Custo: 15 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 5, Heuristica: 7, Custo: 12 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 1 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 6, Heuristica: 5, Custo: 11 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 1 1 1)) ((0 1 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 7, Heuristica: 3, Custo: 10 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 1 1 1)) ((0 1 1 1) (0 1 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 8, Heuristica: 1, Custo: 9 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 1 1 1)) ((0 1 1 1) (0 1 1 1) (1 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 9, Heuristica: -2, Custo: 7 


Nos gerados: 6419, Nos expandidos: 220, Penetrância: 1/6419
Estado: (((0 0 0 1 0 0) (0 0 0 1 1 1) (1 1 1 1 1 0) (0 0 0 1 1 0) (0 0 0 1 1 0) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 0, Heuristica: 18, Custo: 18 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 0) (0 0 0 1 1 0) (0 0 0 1 1 0) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 1, Heuristica: 47, Custo: 48 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 0 1 1 0) (0 0 0 1 1 0) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 2, Heuristica: 45, Custo: 47 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 0) (0 0 0 1 1 0) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 3, Heuristica: 42, Custo: 45 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (0 0 0 1 1 0) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 4, Heuristica: 39, Custo: 43 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 0 0 1 1 0) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 5, Heuristica: 35, Custo: 40 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 1 0 1 1 0) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 6, Heuristica: 32, Custo: 38 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 1 1 1 1 0) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 7, Heuristica: 30, Custo: 37 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 8, Heuristica: 28, Custo: 36 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 1 1 1 1 1) (1 0 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 9, Heuristica: 25, Custo: 34 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 10, Heuristica: 21, Custo: 31 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 0 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 11, Heuristica: 17, Custo: 28 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 0 1 1 1) (0 1 0 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 12, Heuristica: 15, Custo: 27 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (0 0 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 0 1 1 1) (0 1 1 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 13, Heuristica: 13, Custo: 26 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (1 0 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 0 1 1 1) (0 1 1 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 14, Heuristica: 11, Custo: 25 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 0 1 1 1) (0 1 1 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 15, Heuristica: 9, Custo: 24 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 0 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 16, Heuristica: 7, Custo: 23 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 1 1 1) (0 1 1 0 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 17, Heuristica: 5, Custo: 22 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 1 1 1) (0 1 1 1 1 1) (0 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 18, Heuristica: 1, Custo: 19 
Estado: (((0 0 0 1 0 0) (0 1 0 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 1 1 1) (0 1 1 1 1 1) (1 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 19, Heuristica: -3, Custo: 16 
Estado: (((0 0 0 1 0 0) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 1 1 1) (0 1 1 1 1 1) (1 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 20, Heuristica: -5, Custo: 15 
Estado: (((0 0 0 1 0 0) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 21, Heuristica: -7, Custo: 14 
Estado: (((0 0 1 1 0 0) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 0 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 22, Heuristica: -9, Custo: 13 
Estado: (((0 0 1 1 0 0) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 0 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 23, Heuristica: -11, Custo: 12 
Estado: (((0 0 1 1 0 0) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 1)) ((0 0 1 1 1 1) (0 1 1 1 1 1) (1 1 1 1 1 1) (1 1 1 1 1 0) (1 0 1 0 1 0) (0 0 1 1 0 0) (0 1 1 1 1 1))), Profundidade: 24, Heuristica: -15, Custo: 9 


Nos gerados: 589, Nos expandidos: 44, Penetrância: 1/589
Estado: (((0 0 1 0) (1 0 1 1) (0 0 1 1) (0 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 0, Heuristica: 6, Custo: 6 
Estado: (((0 0 1 0) (1 0 1 1) (1 0 1 1) (0 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 1, Heuristica: 19, Custo: 20 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (0 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 2, Heuristica: 17, Custo: 19 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 0 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 3, Heuristica: 15, Custo: 18 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (0 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 4, Heuristica: 11, Custo: 15 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 0 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 5, Heuristica: 7, Custo: 12 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 1 1 1)) ((0 0 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 6, Heuristica: 5, Custo: 11 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 1 1 1)) ((0 1 1 1) (0 0 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 7, Heuristica: 3, Custo: 10 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 1 1 1)) ((0 1 1 1) (0 1 1 1) (0 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 8, Heuristica: 1, Custo: 9 
Estado: (((0 0 1 0) (1 0 1 1) (1 1 1 1) (1 1 1 1) (1 1 1 1)) ((0 1 1 1) (0 1 1 1) (1 0 1 1) (1 0 1 1) (0 1 1 1))), Profundidade: 9, Heuristica: -2, Custo: 7 
